,nmos_rvt:@:nfet_phig:@:IGNC,pmos_rvt:@:pfet_phig:@:IGNC,LoadCap,vdd,number_fin,t_fall_delay,t_rise_delay,t_fall_time,t_rise_time,temper
164,0.6131,-1.1911,1f,0.6,1,1.4993e-11,3.88452e-11,2.480228e-11,5.585186e-11,25.0
165,0.3824,0.9694,1f,0.6,1,1.427856e-11,2.574114e-11,2.472322e-11,3.728936e-11,25.0
166,-1.8849,0.6073,1f,0.6,1,1.079401e-11,2.936449e-11,1.889249e-11,4.257196e-11,25.0
167,0.8013,0.2451,1f,0.6,1,1.611262e-11,2.872821e-11,2.393005e-11,4.225046e-11,25.0
168,-1.3209,0.8362,1f,0.6,1,1.158263e-11,2.629525e-11,1.991916e-11,3.814743e-11,25.0
169,-2.4502,-1.2897,1f,0.6,1,9.719296e-12,3.951338e-11,1.790035e-11,5.709386e-11,25.0
170,0.4527,0.724,1f,0.6,1,1.423438e-11,2.627113e-11,2.521934e-11,3.86935e-11,25.0
171,-0.7223,-0.2172,1f,0.6,1,1.185938e-11,3.160294e-11,2.210193e-11,4.852696e-11,25.0
172,-0.5204,-1.5757,1f,0.6,1,1.230992e-11,4.43712e-11,2.240311e-11,6.147072e-11,25.0
173,1.4914,1.8448,1f,0.6,1,1.736793e-11,2.296145e-11,2.783563e-11,3.508993e-11,25.0
174,-0.2509,1.7263,1f,0.6,1,1.320954e-11,2.338097e-11,2.308049e-11,3.604466e-11,25.0
175,-0.6471,0.4233,1f,0.6,1,1.274307e-11,2.752607e-11,2.044744e-11,4.096035e-11,25.0
176,-1.3806,-0.6952,1f,0.6,1,1.125634e-11,3.467049e-11,1.90557e-11,4.895179e-11,25.0
177,-0.9646,0.383,1f,0.6,1,1.239258e-11,2.804009e-11,1.966603e-11,4.091911e-11,25.0
178,0.667,1.6099,1f,0.6,1,1.52049e-11,2.368173e-11,2.481848e-11,3.681984e-11,25.0
179,-0.4127,0.7432,1f,0.6,1,1.245357e-11,2.869939e-11,2.269743e-11,4.176988e-11,25.0
180,1.0667,0.5062,1f,0.6,1,1.674883e-11,2.764675e-11,2.549951e-11,4.015066e-11,25.0
